sku_code,product_name,product_description
10020,ACR Survival Res-Q&trade; Whistle w/18" Lanyard,"<p><strong>Survival Res-Q&trade; Whistle w/18"" Lanyard</strong></p><p><strong>Features:</strong></p><ul><li>Gets attention!</li><li>Loud, shrill, dual tone audible from great distance</li><li>Unique flat design prevents holding water</li><li>Required by SOLAS 83</li><li>18"" lanyard included</li><li>Meets USCG/SOLAS requirements</li><li>Aids in land or sea rescues</li><li>Use on life jackets, vests, foul weather gear, ring buoys, rafts, key chains, etc.</li><li>Developed for the U.S. Navy; used by NASA, major airlines and shipping companies</li><li>Complete with 18"" (45.5 cm) of lanyard</li></ul><strong>This product may not be returned to the original point of purchase.  Please contact the manufacturer directly with any issues or concerns.</strong> <!--- cis2:m2hqlpps --->"
10021,ACR 55W Replacement Bulb f/RCL-100 Searchlight - 12V,<B>55W Replacement Bulb f/RCL-100 Searchlight - 12V</B><br><br>High intensity 55W Halogen Bulb - 12V.  2 bulbs are needed for each searchlight.<strong>This product may not be returned to the original point of purchase.  Please contact the manufacturer directly with any issues or concerns.</strong> <!--- cis2:m2hqlpps --->
10024,ACR 55W Replacement Bulb f/RCL-100 Searchlight - 24V,<B>55W Replacement Bulb f/RCL-100 Searchlight - 24V</B><br><br>High intensity 55W Halogen - 24V.  2 bulbs are needed for each searchlight.<strong>This product may not be returned to the original point of purchase.  Please contact the manufacturer directly with any issues or concerns.</strong> <!--- cis2:m2hqlpps --->
10025,ACR URP-102 Point Pad f/RCL-50 & RCL-100 Searchlights,<b>Point Pad</b><br><br>Fingertip remote control for RCL-50 and RCL-100 Series.  Up to three remote Point Pad units may be installed on a system.<p><img src="https://productimageserver.com/prop65/6pt.png" alt="Warning" /><strong>WARNING:</strong> This product can expose you to chemicals including BISPHENOL A (BPA) which is known to the State of California to cause birth defects or other reproductive harm. For more information go to <a href="http://P65Warnings.ca.gov">P65Warnings.ca.gov</a>.</p><strong>This product may not be returned to the original point of purchase.  Please contact the manufacturer directly with any issues or concerns.</strong> <!--- cis2:m2hqlpps --->
10026,ACR 55W Replacement Bulb f/RCL-50 Searchlight - 12V,<B>55W Replacement Bulb f/RCL-50 Searchlight - 12V</B><br><br>High intensity 55W Halogen 12V bulb<strong>This product may not be returned to the original point of purchase.  Please contact the manufacturer directly with any issues or concerns.</strong> <!--- cis2:m2hqlpps --->
10027,ACR URC-102 Master Control f/RCL-50 & RCL-100 Searchlight,"<b>URC-102 Master Control f/RCL-50 & RCL-100 Searchlight</b><br><br>Controls ON-OFF and light rotation speed. Provides optimum voltage for brightest performance. Can perform up to six different duties; controls searchlights, winches, and other devices. 12/24V, for RCL-50 and RCL-100 Series. <br><br><b>Includes:</b> <br>8-ea. in-line connectors, but no coaxial cable. 2.8"" x 3"" x 1.6""<p><img src=""https://productimageserver.com/prop65/6pt.png"" alt=""Warning"" /><strong>WARNING:</strong> This product can expose you to chemicals including di(2-ethylhexyl)phthalate (dehp) which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information go to <a href=""http://P65Warnings.ca.gov"">P65Warnings.ca.gov</a>.</p><strong>This product may not be returned to the original point of purchase.  Please contact the manufacturer directly with any issues or concerns.</strong> <!--- cis2:m2hqlpps --->"
10030,ACR Universal Remote Control Kit,"<p><strong>Universal Remote Control Kit</strong></p><p>Universal Remote Control (URC-102) &amp; a Point Pad&trade; (URP-102)</p><p><strong>Features:</strong></p><ul><li>Consists of universal master control unit and a Point Pad; installed via single coaxial cable</li><li>URC-102 provides optimum voltage to ensure brightest performance and long lamp life, regardless of boat system voltage fluctuations</li><li>URC-102 XRCiZ feature rotates and moves light assembly every 30 days from activation to keep all bearing surfaces free of corrosion and all electrical contacts functional (can be disabled)</li><li>On-Off and light rotation speed control</li><li>Point Pad allows finger tip control; surface/flush mount options included</li><li>Has the capacity to perform up to six different duties; ideal for searchlights, winches and other electrical devices</li><li>Easily retrofitted to most servo-motor drives</li><li>Compatible with 12 or 24VDC operation</li></ul><p><strong>Specifications:</strong></p><ul><li>Master Size: 2.8"" x 3"" x 1.6"" (7.1 x 7.6 x 4.0 cm)</li><li>Remote Size:&nbsp;5"" x 4.5"" x 5"" (12.7 x 11.43 x 12.7 cm)</li><li>Master Weight:&nbsp;.65lbs (300g)</li><li>Remote Weight: 10.5oz (300g)</li></ul><p><img src=""https://productimageserver.com/prop65/6pt.png"" alt=""Warning"" /><strong>WARNING:</strong> This product can expose you to chemicals including BISPHENOL A (BPA) which is known to the State of California to cause birth defects or other reproductive harm. For more information go to <a href=""http://P65Warnings.ca.gov"">P65Warnings.ca.gov</a>.</p><strong>This product may not be returned to the original point of purchase.  Please contact the manufacturer directly with any issues or concerns.</strong> <!--- cis2:m2hqlpps --->"
10036,Icom HF Automatic Antenna Tuner f/M802-01,"<b>HF Automatic Antenna Tuner</b><br><br><b>Tune in your HF marine world</b><br><br><b>Suitable for many vessels</b><br>The versatile AT-130 can be used with a variety of vessels, even smaller boats that cannot use a long antenna element. For example, the AT-130 will match a 7 m (23 feet) long wire antenna across the marine band in the 1.6 - 27.5 MHz range.<br><br><b>Automatic tuning</b><br>No manual tuning is needed. Just push the [TUNE] switch on an Icom HF marine transceiver; the AT-130 adjusts the antenna and the transceiver to the minimum SWR in any frequency on an HF marine band. The AT-130 allows you to transmit with strong RF output power, and is perfect for maritime mobile operations.<br><br><b>Weather resistant</b><br>The AT-130 is housed in a durable, completely weather-resistant acrylic case with rubber gaskets. This allows it to be conveniently installed near the antenna element base.<br><br><b>For Icom HF marine transceivers</b><br>Icom's sophisticated AT-130 easily matches Icom HF marine transceivers. The AT-130 easily interconnects with an Icom HF marine transceiver. AT-130 installation is simple. No adjustments are necessary. Just connect the control cable and antenna wire and go!<br><br><b>Quick tune-up</b><br>Improved tuning performance...the tune-up time is less than 3 seconds in any frequency on an HF marine band. In addition, the AT-130 has 8 convenient memories to store tuning information. Retuning for a memorized frequency takes about 1.5 seconds. This allows you quick trouble-free frequency changes.<br><br><b>Low power tune-up</b><br>The AT-130 emits very little output power (just 300 mW) during the tuning process. This reduces the possibility of causing interference to other stations using the frequency.<br><br><b>Specifications</b><br><ul><li>Dimensions: 230(W) x 340(H) x 80(D) mm; 9.1(W) x 13.4(H) x 3.1(D) in (projections not included)<br>    <li>Weight: 2.7 kg; 6.0 lb<br>    <li>Usable Temperature Range: -30C ~ +60C<br>    <li>Rated Voltage: 13.6 V DC +/-15% (negative ground) (supplied from an Icom HF marine transceiver)<br>    <li>Current Drain (at 13.6 V DC): 2 A<br>    <li>Frequency Coverage: 1.6~30 MHz (with the antenna length 7 m (23 ft) or longer)<br>    <li>Input Impedance: 50 ohms (unbalanced)<br>    <li>Max. Input Power: 150 W (PEP)<br>    <li>Input Power During Tuning: 10 W<br>    <li>Auto Tuning Time: 1.5 sec. (returning for a memorized frequency), typically 2~3 sec. (when operating band has been changed)<br>    <li>Auto Tuning Accuracy: VSWR 2.0:1<br>    <li>Insertion Loss: 0.5 dB (with a 50 ohms load, after tuning)</li></ul> <!--- cis2:m2hqlpps --->"
10149,Icom External Speaker - Black,"<b>External Speaker - Black</b><br><br><b>Features:</b><br><UL><LI>4x4 inch external speaker, same as supplied<br><LI>Input impedance: 4 ohms<br><LI>Max input power: 7 Watts</li></ul> <!--- cis2:m2hqlpps --->"
10158,"Icom Ni-Cad Battery f/M2, M32 & GM1600",<b>Ni-Cad Battery</b><br><br><b>Features:</b><br><UL><LI> 7.2V/750mAh Ni-Cad battery pack<br><LI>Provides approximately 7.5 hours operating time<br><LI>The BP-224 Ni-Cad Battery is the same as supplied with unit</li></ul> <!--- cis2:m2hqlpps --->
